자치구,관광지 유형,평균,표준 편차
종로구,유료관광지,6571319.7,2317520.564468892
종로구,내국인,2450480.65,2651804.48790427
종로구,외국인,835179.2,1122887.5400291698
중구,유료관광지,1659970.6,508169.85744123
중구,내국인,1876314.4,755898.4600113563
중구,외국인,228627.6,170103.72244351386
용산구,유료관광지,2960404.5,749060.6039281802
용산구,내국인,1426868.4,1512202.7635523751
용산구,외국인,53333.85,64514.84965205684
동대문구,유료관광지,31385.8,41925.464848466494
동대문구,내국인,15233.25,32579.155366391868
동대문구,외국인,459.65,1069.9336556534706
노원구,유료관광지,84562.9,18182.518832384034
노원구,내국인,42144.0,44061.965284131395
노원구,외국인,137.45,176.87551413352836
서대문구,유료관광지,806960.3,371942.9236912701
서대문구,내국인,386239.6,460576.013282976
서대문구,외국인,17240.55,24442.326011398745
마포구,유료관광지,279390.8,208125.53239081457
마포구,내국인,36534.5,55503.83639398271
마포구,외국인,103160.9,149814.22153317087
서초구,유료관광지,37684.9,13135.893524614152
서초구,내국인,18739.25,20901.346944335906
서초구,외국인,103.2,222.3588541074989
강남구,유료관광지,359650.7,30362.82827093023
강남구,내국인,174442.65,176178.75459126025
강남구,외국인,5382.7,8070.349906292786
송파구,유료관광지,2927844.0,3465228.768071626
송파구,내국인,1470888.65,2855575.613841546
송파구,외국인,43634.55,190198.5938968727
